BASIN,LOCATION,RIVMILE,SITE_ID,LATITUDE,LONGITUDE,NAME,DESCRIPT,WQ_STANDARD,PWL_ID,NED10_Elevation
11,LBALL,7,11-LBALL-7,42.95590037,-73.85190086,Ballston Lake,LAKE,A,1101-0036,
11,LBALL,8,11-LBALL-8,42.94333185,-73.85785686,Ballston Lake,LAKE,A,1101-0036,
8,LBLK,5,08-LBLK-5,43.37583,-75.06805,Little Black Creek,Roberts Rd. bridge at DEC fishing access,CT,0801-0236,390.5853577
10,LCHM_T117,1,10-LCHM_T117-1,43.63806233,-73.44650387,Minor Tribs to Lake Champlain,"total length of selected tribs, South Lake",C(T),1005-0020,
10,LCHU,2,10-LCHU-2,43.84945,-73.42111,La Chute River,200 m above Elk Dr. bridge,D,1006-0017,39.58666992
10,LCHZ,2.4,10-LCHZ-2.4,44.903335,-73.412067,Little Chazy River,10m below Stetson Rd bridge,C,1002-0003,32.0749321
6,LEATO,1,06-LEATO-1,42.86227913,-75.69817019,Eaton Brook Reservoir,LAKE,B,0602-0041,
6,LEATO,2,06-LEATO-2,42.86697003,-75.70939742,Eaton Brook Reservoir,LAKE,B,0602-0041,
6,LEATO,3,06-LEATO-3,42.86195192,-75.70463828,Eaton Brook Reservoir,LAKE,B,0602-0041,
6,LEATO,4,06-LEATO-4,42.85623468,-75.70383853,Eaton Brook Reservoir,LAKE,B,0602-0041,
6,LEATO,5,06-LEATO-5,42.84931769,-75.70627754,Eaton Brook Reservoir,LAKE,B,0602-0041,
6,LEATO,6,06-LEATO-6,42.85637343,-75.69877666,Eaton Brook Reservoir,LAKE,B,0602-0041,
6,LEATO,7,06-LEATO-7,42.86072462,-75.69146398,Eaton Brook Reservoir,LAKE,B,0602-0041,
6,LEATO,8,06-LEATO-8,42.8671143,-75.6880987,Eaton Brook Reservoir,LAKE,B,0602-0041,
17,LEMN,1.3,17-LEMN-1.3,40.52528,-74.20972,Lemon Creek,30 m above Amboy Rd. & Maguire Ave. bridge,B,1701-0149,4.904396057
10,LGEO_T_37,0.2,10-LGEO_T_37-0.2,43.41716463,-73.69941184,"Tribs to L.George, Village of L George",total length of selected tribs,AA-S,1006-0008,
10,LGEO_T62,0.2,10-LGEO_T62-0.2,43.611,-73.628,"Tribs to L.George, Town of Bolton",total length of selected tribs,AA-S,1006-0022,
10,LGEO_T78,0.1,10-LGEO_T78-0.1,43.666,-73.515,"Tribs to L.George, Town of Hague",total length of selected tribs,AA-S,1006-0024,
10,LGLN,0.5,10-LGLN-0.5,43.377,-73.6157,Lower Glen Lake Brook,CR 39,AA(T),1005-0043,87.25776672
13,LGUN,6,13-LGUN-6,41.45587,-74.4938,Little Shawangunk Kill,entire stream and tribs,B,1306-0059,
13,LHUB_NYACK,0,13-LHUB_NYACK,41.08789824,-73.91313937,Hudson River,from Riverdale (Westch/Bronx Co line) to Bear Mt Brdg,SB,1301-0094,
13,LHUD,0,13-LHUD-B2,41.505018,-73.9868796,Hudson River,from Bear Mountain Bridge to Roseton/Chelsea,B,1301-0003,
13,LHUD,0,13-LHUD-B3,41.50306,-73.9868796,Hudson River,from Bear Mountain Bridge to Roseton/Chelsea,B,1301-0003,
13,LHUD,50.6,13-LHUD-50.6,41.503888,-73.9875,Hudson River,from Bear Mountain Bridge to Roseton/Chelsea,B,1301-0003,
13,LHUD,89.3,13-LHUD-89.3,42.06889,-73.92778,Lower Hudson River,Green buoy 91,A,1301-0276,0
13,LHUD,104.6,13-LHUD-104.6,42.26245,-73.794172,Lower Hudson River,Green can buoy 135,A,1301-0276,0
13,LHUD,119.6,13-LHUD-119.6,42.53893,-73.757633,Lower Hudson River,Buoy 205,C,1301-0002,0
13,LHUD,133.4,13-LHUD-133.4,42.74433,-73.688323,Lower Hudson River,"Buoy 229, below Troy Dam",C,1301-0002,0
13,LHUD_NEWBURGH,0,13-LHUD_NEWBURGH,41.49857395,-74.00606324,Hudson River,from Bear Mountain Bridge to Roseton/Chelsea,B,1301-0003,
13,LHUD_OSSINING,0,13-LHUD_OSSINING,41.15702212,-73.86973692,Hudson River,from Riverdale (Westch/Bronx Co line) to Bear Mt Brdg,SB,1301-0094,
13,LHUD_YONKERS,0,13-LHUD_YONKERS,40.95707358,-73.89915291,Hudson River,from Riverdale (Westch/Bronx Co line) to Bear Mt Brdg,SB,1301-0094,
17,LIGO,0.5,17-LIGO-0.5,40.98722,-72.30028,Ligonee Creek,Rte 79,C,1701-0352,2.44502306
10,LINC,2.6,10-LINC-2.6,44.428261,-73.944347,Lincoln Brook,"total length of selected tribs, above Franklin Falls Pd",C(T),1003-0071,
13,LKIND,1,13-LKIND-1,42.44748086,-73.66334334,Kinderhook Lake,LAKE,B,1310-0002,
13,LKIND,2,13-LKIND-2,42.44675326,-73.65624053,Kinderhook Lake,LAKE,B,1310-0002,
13,LKIND,3,13-LKIND-3,42.44533273,-73.6511555,Kinderhook Lake,LAKE,B,1310-0002,
13,LKIND,4,13-LKIND-4,42.44459052,-73.64836041,Kinderhook Lake,LAKE,B,1310-0002,
13,LKIND,5,13-LKIND-5,42.45219871,-73.65053433,Kinderhook Lake,LAKE,B,1310-0002,
13,LKIND,6,13-LKIND-6,42.45858362,-73.65071997,Kinderhook Lake,LAKE,B,1310-0002,
13,LKIND,7,13-LKIND-7,42.46071837,-73.65709246,Kinderhook Lake,LAKE,B,1310-0002,
13,LKIND,8,13-LKIND-8,42.45606815,-73.66050191,Kinderhook Lake,LAKE,B,1310-0002,
13,LLINC,1,13-LLINC-1,41.34085938,-73.72763027,"	Lake Lincolndale",LAKE,B,1302-0089,
13,LLINC,2,13-LLINC-2,41.33994786,-73.72752848,"	Lake Lincolndale",LAKE,B,1302-0089,
13,LLINC,3,13-LLINC-3,41.34085305,-73.72591645,"	Lake Lincolndale",LAKE,B,1302-0089,
13,LLINC,4,13-LLINC-4,41.34210455,-73.72433145,"	Lake Lincolndale",LAKE,B,1302-0089,
13,LLINC,5,13-LLINC-5,41.34136397,-73.72298929,"	Lake Lincolndale",LAKE,B,1302-0089,
13,LLINC,6,13-LLINC-6,41.34254787,-73.72272424,"	Lake Lincolndale",LAKE,B,1302-0089,
13,LLINC,7,13-LLINC-7,41.34298666,-73.72489769,"	Lake Lincolndale",LAKE,B,1302-0089,
13,LLINC,8,13-LLINC-8,41.34244516,-73.72700488,"	Lake Lincolndale",LAKE,B,1302-0089,
12,LMARI,1,12-LMARI-1,42.82654168,-74.1376506,Mariaville Lake,LAKE,B,1201-0113,
12,LMARI,2,12-LMARI-2,42.82434487,-74.13378314,Mariaville Lake,LAKE,B,1201-0113,
12,LMARI,3,12-LMARI-3,42.82645754,-74.12421025,Mariaville Lake,LAKE,B,1201-0113,
12,LMARI,4,12-LMARI-4,42.82804837,-74.12076329,Mariaville Lake,LAKE,B,1201-0113,
12,LMARI,5,12-LMARI-5,42.82829277,-74.13426714,Mariaville Lake,LAKE,B,1201-0113,
12,LMARI,6,12-LMARI-6,42.82425987,-74.13934155,Mariaville Lake,LAKE,B,1201-0113,
12,LMARI,7,12-LMARI-7,42.82560633,-74.12872402,Mariaville Lake,LAKE,B,1201-0113,
12,LMARI,8,12-LMARI-8,42.82888149,-74.12876768,Mariaville Lake,LAKE,B,1201-0113,
13,LMOHE,1,13-LMOHE-1,41.31718941,-73.85452217,Lake Mohegan,LAKE,B,1301-0149,
13,LMOHE,2,13-LMOHE-2,41.31552169,-73.84957984,Lake Mohegan,LAKE,B,1301-0149,
13,LMOHE,3,13-LMOHE-3,41.31145611,-73.85127284,Lake Mohegan,LAKE,B,1301-0149,
13,LMOHE,4,13-LMOHE-4,41.3080185,-73.85392494,Lake Mohegan,LAKE,B,1301-0149,
13,LMOHE,5,13-LMOHE-5,41.31049448,-73.84805464,Lake Mohegan,LAKE,B,1301-0149,
13,LMOHE,6,13-LMOHE-6,41.31531108,-73.84703828,Lake Mohegan,LAKE,B,1301-0149,
13,LMOHE,7,13-LMOHE-7,41.31978697,-73.84991358,Lake Mohegan,LAKE,B,1301-0149,
13,LMOHE,8,13-LMOHE-8,41.31949843,-73.85180591,Lake Mohegan,LAKE,B,1301-0149,
8,LOLO,3.4,08-LOLO-3.4,43.51777,-75.20434,Long Lake Outlet,40m upstream of Round Pond Rd,C(T),0801-0415,392.6600952
13,LPEAC,1,13-LPEAC-1,41.36326969,-73.58670096,Peach Lake,LAKE,B,1302-0004,
13,LPEAC,2,13-LPEAC-2,41.3595744,-73.58119702,Peach Lake,LAKE,B,1302-0004,
13,LPEAC,3,13-LPEAC-3,41.35715946,-73.57703166,Peach Lake,LAKE,B,1302-0004,
13,LPEAC,4,13-LPEAC-4,41.35734557,-73.57260437,Peach Lake,LAKE,B,1302-0004,
13,LPEAC,5,13-LPEAC-5,41.36115943,-73.57348385,Peach Lake,LAKE,B,1302-0004,
13,LPEAC,6,13-LPEAC-6,41.36557272,-73.57609622,Peach Lake,LAKE,B,1302-0004,
13,LPEAC,7,13-LPEAC-7,41.36874544,-73.58150004,Peach Lake,LAKE,B,1302-0004,
13,LPEAC,8,13-LPEAC-8,41.36844621,-73.58601388,Peach Lake,LAKE,B,1302-0004,
13,LPNAM,1,13-LPNAM-1,41.46181304,-73.54219286,Putnam Lake,LAKE,B,1302-0053,
13,LPNAM,2,13-LPNAM-2,41.45784686,-73.54251993,Putnam Lake,LAKE,B,1302-0053,
13,LPNAM,3,13-LPNAM-3,41.46098341,-73.53741486,Putnam Lake,LAKE,B,1302-0053,
13,LPNAM,4,13-LPNAM-4,41.46694975,-73.5365354,Putnam Lake,LAKE,B,1302-0053,
13,LPNAM,5,13-LPNAM-5,41.47239531,-73.53557177,Putnam Lake,LAKE,B,1302-0053,
13,LPNAM,6,13-LPNAM-6,41.47759217,-73.53710258,Putnam Lake,LAKE,B,1302-0053,
13,LPNAM,7,13-LPNAM-7,41.47168188,-73.53962618,Putnam Lake,LAKE,B,1302-0053,
13,LPNAM,8,13-LPNAM-8,41.46721434,-73.54349902,Putnam Lake,LAKE,B,1302-0053,
17,LREL_T8,0.5,17-LREL_T8-0.5,41.18906,-73.547876,Minor Tribs to Connecticut,total length of selected tribs entering CT,AA-S,1702-0135,
10,LSAB,5.7,10-LSAB-5.7,44.59417,-73.49639,Little Ausable River,50m above Fuller Rd bridge @Northway (Northbound),C,1004-0018,72.42144012
10,LSAB,23.4,10-LSAB-23.4,44.49444779,-73.64778814,Little Ausable River,stream and tribs above dam in Peru,A(T),1004-0021,
10,LSAR_T10,0.3,10-LSAR_T10-0.3,44.329961,-74.28817,Tribs to Upper Saranac Lake,total length of all tribs,AA(T),1003-0087,
13,LWAP,3.5,13-LWAP-3.5,41.83389,-73.81889,Little Wappinger Creek,20m above Halstead Rd,B,1305-0019,83.35471344
6,LYON,0.3,06-LYON-0.3,42.462915,-75.547991,Lyon Brook,entire stream and tribs,C(T),0602-0148,
5,MALL,0.1,05-MALL-0.1,42.0547,-76.62339,Mallory Creek,20 m above CR 3,C,0501-0019,286.3999939
17,MAMR,0.3,17-MAMR-0.3,40.95222,-73.73444,Mamaroneck River,100 m above Ward Ave. bridge,C,1702-0123,4.603546619
17,MAMR,6.7,17-MAMR-6.7,41.0183,-73.7266,Mamaroneck River,"Below Corporate Park Dr. bridge, btw E&W Westchest",C,1702-0123,30.94029617
17,MAMR_T12,0.7,17-MAMR_T12-0.7,41.04113388,-73.74026396,"Mamaroneck River, Upper, and minor tribs",entire stream and selected tribs above Route 1,C,1702-0123,
13,MANY,1.3,13-MANY-1.3,41.49333,-74.29389,Manayunk Kill,5m below VanAmburg & Kaisertown Rd bridge,C,1306-0070,118.9791794
13,MASO,0.2,13-MASO-0.2,41.43765,-74.372867,Masonic Creek,"at County Route 50 (Golf Links Road) overpass, upstream of confluence with Wallkill River",B,1306-0072,112.6179428
17,MASS,1.2,17-MASS-1.2,40.68167,-73.46056,Massapequa River,150 m above Clark Ave.,C(T),1701-0174,3.769030571
5,MCHE,1.5,05-MCHE-1.5,42.29771,-77.76152,McHenry Valley Creek,off McHenry Valley Rd;40 m above Stevens Rd bridge,C,0503-0026,440.696167
3,MCRK,0.4,03-MCRK-0.4,43.95280008,-76.10246658,Mill Creek,Miliatary road stream crossing,C,0303-0044,81.87974548
5,MDCR,0.9,05-MDCR-0.9,42.29023,-77.22003,Mud Creek,@Rte 415 bridge,C,0502-0025,317.8523254
6,MDUF,2.7,06-MDUF-2.7,42.253636,-76.583934,McDuffy Creek,"stream and select tribs, from Van Etten to Cayuta",C,0603-0065,
5,MEAD,2.1,05-MEAD-2.1,42.19293,-77.141882,Meads Creek,300 m upstream of Meads Creek Rd. bridge,CT,0502-0008,294.3023682
10,METT,11.1,10-METT-11.1,43.45283,-73.32356,Mettawee River,75 m above CR 12 bridge ,C(T),1005-0003,85.35704803
17,MIAN,13.3,17-MIAN-13.3,41.19389,-73.62473,Mianus River,40 m below Millers Mill Rd. bridge,AA-S,1702-0136,106.2105942
17,MIAN,14.2,17-MIAN-14.2,41.20139,-73.63389,Mianus River,Middle Patent Rd. bridge,AA-S,1702-0136,105.4640961
17,MIAN_E_T5,0.4,17-MIAN_E_T5-0.4,41.169757,-73.590008,Minor Tribs to Connecticut,total length of selected tribs entering CT,AA-S,1702-0135,
6,MICI,3.7,06-MICI-3.7,42.27917,-76.49111,Michigan Creek,Signor Hill Rd,CT,0603-0055,334.6363831
5,MIGA,0.4,05-MIGA-0.4,42.22966,-77.20564,Michigan Creek,CR 333; 70 & 90 m upstream,C,0502-0023,315.4555359
8,MILB,0.6,08-MILB-0.6,43.51194,-75.31944,Mill Creek,30m below DeVoe Rd. bridge,C,0801-0201,283.5020142
10,MILC,3.6,10-MILC-3.6,44.06114571,-73.50703784,Mill Brook,entire stream and selected tribs,C(T),1001-0017,
8,MILE,0.7,08-MILE-0.7,43.52561,-75.2995,Mile Creek,30 m below Joslyn Rd,CT,0801-0408,291.7580261
4,MILH,0.1,04-MILH-0.1,42.78913,-77.51446,Mill Creek,Off Main St,C,0402-0071,245.3181458
4,MILH,0.1,04-MILH-0.1,42.78913,-77.51446,Mill Creek,Off Main St,C,0402-0071,245.3181458
4,MILH,0.9,04-MILH-0.9,42.78587,-77.49913,Mill Creek,"East Lake Rd,  just below bridge",C,0402-0071,255.3022919
4,MILH,0.9,04-MILH-0.9,42.78587,-77.49913,Mill Creek,"East Lake Rd,  just below bridge",C,0402-0071,255.3022919
17,MILI,2.9,17-MILI-2.9,41.2125,-73.55305,Mill River,20m above stone bridge,AA-S,1702-0137,125.1092224
13,MILL,6.7,13-MILL-6.7,42.61278,-73.69556,Mill Creek,20 m above Michaels Rd. bridge,C(TS),1301-0246,75.91091156
17,MILR,5.3,17-MILR-5.3,40.704312,-73.658096,Mill River,10 m downstream of Chesman St.,C,1701-0221,13.04114342
10,MKEN,1.4,10-MKEN-1.4,44.253198,-74.222559,McKenna Brook,total length of all tribs,AA,1003-0082,
8,MLCK_T2,0.1,08-MLCK_T2-0.1,43.62847,-75.41475,Unnamed Tributary  to Mill Creek,"In Town Park, off SR 26",CT,0801-0342,386.5480957
8,MLLL,1.8,08-MLLL-1.8,43.78305,-75.47861,Mill Creek,15 m below E. State Street bridge,D,0801-0200,232.4812317
8,MLLL_N,0.1,08-MLLL_N-0.1,43.78417,-75.49889,North Branch Mill Creek,20 m below Cemetery St. bridge,C,0801-0317,264.8256531
8,MLLL_S,0.4,08-MLLL_S-0.4,43.78083,-75.50166,South Branch Mill Creek,100 m below Cemetery Rd. bridge,C,0801-0200,292.3772583
13,MONH,0.4,13-MONH-0.4,41.42361,-74.38111,Monhagen Brook,"20 m above Golf Links Rd. bridge, 4.1mi. below STP",C,1306-0074,112.5496368
13,MONH,4.1,13-MONH-4.1,41.42833,-74.42389,Monhagen Brook,200 m upstream of Middletown STP discharge,C,1306-0074,145.1663971
8,MOOC,0.4,08-MOOC-0.4,43.52194,-75.34528,Moose Creek,200 m below East Rd. bridge,C,0801-0232,322.3495483
13,MOOD,0.8,13-MOOD-0.8,41.45833,-74.03028,Moodna Creek,@CR 74 bridge,C,1303-0010,1.990022063
8,MOOS,2.5,08-MOOS-2.5,43.62259,-75.315398,Moose River,Above Lowdale Rd bridge,CT,0801-0226,301.6082764
8,MOOS,16.8,08-MOOS-16.8,43.6125,-75.10111,Moose River,200 m above Rt.28 bridge; dirt rd. off SR 28 to river,CT,0801-0226,449.8523254
8,MOOS_M,3.9,08-MOOS_M-3.9,43.66222,-75.07306,Middle Branch Moose River,off Minnehaha Rd.; off Rt. 28,C,0801-0228,507.2697754
8,MOOS_S,0.1,08-MOOS_S-0.1,43.6425,-74.95472,South Branch Moose River,100m above Bisby Rd. bridge-Adirondack League Club,CT,0801-0227,480.242218
6,MUDO,1.3,06-MUDO-1.3,42.6,-75.87833,Mud Creek,entire stream and tribs,C(T),0602-0068,
8,MURM,3.4,08-MURM-3.4,43.884,-75.3472,Murmur Creek,20 m upstream of Lehman Rd.,C(T),0801-0219,270.8006287
6,NANG_T26,1.3,06-NANG_T26-1.3,42.335531,-75.77861,Minor Tribs to Middle Chenango River,"total length of selected tribs, Chenango Fks to Oxford",C,0602-0136,
6,NANG_W,0.3,06-NANG_W-0.3,42.884058,-75.638408,West Branch Chenango River,200 m above Hart Rd. bridge,CT,0602-0165,380.3312683
10,NBAY,6.5,10-NBAY-6.5,43.69252499,-73.5925905,Northwest Bay Brook,entire stream and tribs,AA-S,1006-0023,
5,NEWT_T30,0.4,05-NEWT_T30-0.4,42.201117,-76.663515,Unnamed Tributary to Newtown Creek,40m below Swartwood Hill Rd,C,0501-0030,408.6808167
10,NICO,1,10-NICO-1,44.269447,-73.835122,Nichols Brook,stream and selected tribs fr Upper Jay to Keene Valley,AA(T),1004-0071,
6,NING_T,1.2,06-NING_T-1.2,42.66143464,-75.98309931,Cheningo Creek and tribs,entire stream and tribs,C(T),0602-0058,
17,NISS,6,17-NISS-6,40.84889,-73.225,Nissequogue River,"Rt. 25, Caleb State Park, above USGS gage",C(TS),1702-0235,3.083664894
13,NORM,3.7,13-NORM-3.7,42.63445,-73.8,Normans Kill,200 m above Delaware Ave. (Rt. 443) bridge,B,1311-0010,24.48381042
13,NORM,21.4,13-NORM-21.4,42.71369,-73.95533,Normans Kill,"Off French Mills Rd, to the left behind Watervliet Water Supply building",C,1311-0002,57.72310257
13,NORM,25.7,13-NORM-25.7,42.76458,-74.0026,Normans Kill,100 m above Giffords Church Rd,A,1311-0018,80.08272552
13,NOST,0.3,13-NOST-0.3,42.09708,-73.54494,Noster Kill,Immediately above Rte 7A bridge,C(T),1308-0021,161.7639008
6,NVUS,0.9,06-NVUS-0.9,42.48556,-74.96944,Schenevus Creek,50 m below bridge on road off I-88 Exit 17,C,0601-0062,335.4124146
6,NVUS,6.4,06-NVUS-6.4,42.51865022,-74.90913511,Schenevus Creek,"stream and tribs, from mouth to near Schenevus",C(T),0601-0062,
6,NVUS_T28,3.5,06-NVUS_T28-3.5,42.653764,-74.692196,"Schenevus Creek, Upper and minor tribs",entire stream and selected tribs,A(TS),0601-0169,
6,NWIN,0.2,06-NWIN-0.2,42.88417,-75.18861,North Winfield Creek,"Town park, 120m below Rte 20 bridge",CT,0601-0035,364.3266602
6,NWIN,0.2,06-NWIN-0.2,42.88417,-75.18861,North Winfield Creek,"Town park, 120m below Rte 20 bridge",CT,0601-0035,364.3266602
6,NWIN,5.6,06-NWIN-5.6,42.94095984,-75.19344776,North Winfield Creek,entire stream and tribs,C(T),0601-0035,
4,OATK,4.2,04-OATK-4.2,43.01026,-77.7921,Oatka Creek,30 m above Union St bridge;DEC fishing access area,BTS,0402-0027,173.2908478
4,OATK,4.2,04-OATK-4.2,43.01026,-77.7921,Oatka Creek,30 m above Union St bridge;DEC fishing access area,BTS,0402-0027,173.2908478
4,OATK,5.8,04-OATK-5.8,43.00563,-77.82015,Oatka Creek,120 m below Wheatland Center Rd bridge,BTS,0402-0027,176.1927185
4,OATK,5.8,04-OATK-5.8,43.00563,-77.82015,Oatka Creek,120 m below Wheatland Center Rd bridge,BTS,0402-0027,176.1927185
4,OATK_T17,0.2,04-OATK_T17-0.2,42.862,-78.053,Unammed Tributary to Oatka Creek,Above Starr Rd,C,0402-0031,288.5884094
4,OATK_T17,0.2,04-OATK_T17-0.2,42.862,-78.053,Unammed Tributary to Oatka Creek,Above Starr Rd,C,0402-0031,288.5884094
4,OATK_T17,0.4,04-OATK_T17-0.4,42.864,-78.054,Unammed Tributary to Oatka Creek,Hudson Rd,C,0402-0031,294.7611389
4,OATK_T17,0.4,04-OATK_T17-0.4,42.864,-78.054,Unammed Tributary to Oatka Creek,Hudson Rd,C,0402-0031,294.7611389
15,OCSDSTP,001,15-OCSDSTP-001,41.3104996,-74.1431091,Ramapo River,"stream and tribs, above Newburg Jct",C,1501-0037,
8,OLMS,0.3,08-OLMS-0.3,43.5462,-75.4015,Olmstead Creek,10 m above West Rd,C,0801-0231,359.3900452
7,ONID,4,07-ONID-4,43.20467637,-76.21776609,Oneida River,portion from mouth to Oneida Lake,B,0703-0020,
17,OROW,0.6,17-OROW-0.6,40.73306,-73.22556,Orowoc Creek,10 m below Moffitt Blvd. culvert,C(T),1701-0094,2.568107128
17,OROW,2,17-OROW-2,40.751098,-73.228009,Orowoc Creek,stream and tribs above Montauk Highway (freshwater),C(T),1701-0094,
6,OTGO,10.8,06-OTGO-10.8,42.532129,-75.084072,Otego Creek,"Downstream of County Rte 11A, at first bend in river",C(T),0601-0161,329.0501709
6,OTGO_W,3.5,06-OTGO_W-3.5,42.62412,-75.080234,West Branch Otego Creek,entire stream and tribs,C(TS),0601-0165,
6,OTTC,0.2,06-OTTC-0.2,42.60722,-76.1825,Otter Creek,50 m below North Main St. bridge,C,0602-0061,339.7285767
13,OTTK,2.4,13-OTTK-2.4,41.45634,-74.20895,Otter Kill Creek,50 m below impoundment,C,1303-0025,101.165184
8,OTTR,12.1,08-OTTR-12.1,43.71695,-75.22111,Otter Creek,Logging rd off Partridgeville Rd,CT,0801-0224,402.036438
6,OULE,0.6,06-OULE-0.6,42.333176,-75.287505,Ouleout Creek,stream and tribs from mouth to Handsome Br nr Brooklyn,C(T),0601-0054,
6,OULE,8.4,06-OULE-8.4,42.33139,-75.17639,Ouleout Creek,dirt rd opp. intersection of Rt 357 & CR21,CT,0601-0057,356.3078613
6,OWGO_W_T2,0.1,06-OWGO_W_T2-0.1,42.173476,-76.252419,"West Branch Owego Cr, Lower, and tribs","stream and tribs, from mouth to Jenksville",C,0603-0011,
17,PACH,0.4,17-PACH-0.4,40.76556,-73.02084,Patchogue River,"50 m below Montauk Highway, above STP",C,1701-0099,1.545190334
6,PAGE,8.7,06-PAGE-8.7,42.2735,-75.7427,Page Brook,stream and tribs above Quinnevile,C,0602-0122,
13,PATS,0.5,13-PATS-0.5,42.66444,-73.74667,Patroon Creek,"Pleasant St., off N. Pearl, behind Amer. Boiler Co",C(T),1301-0030,17.93317223
13,PATS,1.3,13-PATS-1.3,42.67157804,-73.75795799,Patroons Creek,from south end of Houghtaling Island to Troy Dam,C,1301-0002,
13,PATS,1.8,13-PATS-1.8,42.67277305,-73.76453779,Patroons Creek,from south end of Houghtaling Island to Troy Dam,C,1301-0002,
6,PAYN,0.4,06-PAYN-0.4,42.79083,-75.56194,Payne Brook,5 m below Middleport Rd. bridge,C,0602-0003,334.2770386
17,PECN,7.6,17-PECN-7.6,40.905502,-72.742968,Peconic River,Edwards Ave bridge,C,1701-0261,7.370212555
17,PECN,12.4,17-PECN-12.4,40.881235,-72.810457,Peconic River,stream and tribs above P565a (freshwater),C,1701-0108,
17,PECN,14.9,17-PECN-14.9,40.867433,-72.838412,Peconic River,"North Street; Turn left onto unnamed road; go 55m


to road crossing",C,1701-0108,12.52448559
17,PECN_T6,0.8,17-PECN_T6-0.8,40.890779,-72.806949,Unnamed Tributary to Peconic River,Off Old River Road,C,1701-0266,12.85212231
17,PENA,1.4,17-PENA-1.4,40.73028,-73.24416,Penataquit Creek,5m above Redington Rd bridge/culvert,C,1701-0092,3.856660843
6,PERK,1.2,06-PERK-1.2,42.64577599,-75.78090618,Minor Tribs to Upper Otselic River,"total length of select tribs, fr Cincinnatus to Otselic",C,0602-0162,
13,PERR,1.5,13-PERR-1.5,41.40632,-74.15423,Perry Creek,"off Mountain Lodge Road, just above small pond",C,1303-0011,126.9195328
13,PETK,6.1,13-PETK-6.1,41.73412,-74.23907,Peters Kill,"Just inside Park Entrance, 50m above bridge next to Awosting Falls carriageway",B(T),1306-0100,416.436554
8,PHIL,0.3,08-PHIL-0.3,44.00394,-75.97823,Philomel Creek,at St Lawrence Ave  E,C,0801-0196,96.86399841
13,PKIL,0.4,13-PKIL-0.4,41.72528,-74.10472,Platte Kill,10m above Rte 208 bridge,B(T),1306-0044,56.85930634
6,PLEA,1.5,06-PLEA-1.5,42.719861,-74.768578,Pleasant Brook,entire stream and tribs,C(T),0601-0175,
6,PLES,4.7,06-PLES-4.7,42.693653,-75.602641,Pleasant Brook,entire stream and selected tribs,C,0602-0071,
13,POCH,1.8,13-POCH-1.8,41.317902,-74.474664,Pochuck Creek,"stream and select tribs, above Middletown",C,1306-0017,
6,PONY,0.2,06-PONY-0.2,42.278278,-76.692328,Pony Hollow Creek,entire stream and tribs,C(T),0603-0069,
5,POSC,1.3,05-POSC-1.3,42.1587,-77.05453,Post Creek,30 m above RR bridge and Rt.414 bridge,C,0501-0047,285.0197144
5,POSC_T5,0.9,05-POSC_T5-0.9,42.226545,-76.972573,Unnamed Tributary to Post Creek,350 meters upstream of Rte 414,C,0501-0004,368.8635559
13,POST,0.8,13-POST-0.8,42.71972,-73.68333,Poesten Kill,150 m above Spring Ave. bridge,C(T),1301-0068,8.746821404
13,POST,18.4,13-POST-18.4,42.68806,-73.48917,Poesten Kill,at CR 41 bridge 1.5 mi. east of Fifty-six Rd.,C(TS),1301-0255,339.2843018
6,PRCK,0.3,06-PRCK-0.3,42.09369586,-75.82377048,Park Creek,entire stream and tribs,C,0601-0031,
6,PRCK,3.2,06-PRCK-3.2,42.09975958,-75.77734061,Park Creek,entire stream and tribs,C,0601-0031,
6,PROP,0.1,06-PROP-0.1,42.2625,-76.37611,Prospect Valley Creek,10m below Rte 96B bridge,C,0603-0032,282.8578796
8,PSAN,0.1,08-PSAN-0.1,43.938251,-75.70102,Unnamed Tributary to Lake Pleasant,at Humphrey Rd,A,0801-0261,325.3130188
10,PUTM,4.5,10-PUTM-4.5,43.9411441,-73.47099809,Putnam Creek,stream and tribs from mouth to Ironville/Penfield Pond,C(T),1005-0011,
10,PUTM,13.2,10-PUTM-13.2,43.87472,-73.54056,Putnam Creek,"Bear Pond Rd, off CR 96",C(T),1005-0015,290.2427979
13,QKER,0.9,13-QKER-0.9,41.32722,-74.41639,Quaker Creek,30 m below Rt. 6 bridge,C,1306-0025,118.7566833
13,QUAK,0.2,13-QUAK-0.2,41.49944,-73.53361,Quaker Brook,150 m above Rte 68 bridge,C(TS),1302-0057,154.5541992
13,QUAS,0.3,13-QUAS-0.3,41.48806,-74.01305,Quassaic Creek,200 m above River Rd. bridge,C,1301-0079,5.513079643
15,RAMA,1.1,15-RAMA-1.1,41.12516,-74.164555,Ramapo River,50 m above 4th St. bridge,A,1501-0012,82.95847321
15,RAMA,4.8,15-RAMA-4.8,41.1621,-74.1887,Ramapo River,"stream and select tribs, from state line to Tuxedo Park",A(T),1501-0012,
15,RAMA,11.8,15-RAMA-11.8,41.250157,-74.168322,Ramapo River,"stream and tribs, from Tuxedo Park to Newburg Jct",A(T),1501-0036,
15,RAMA,13.3,15-RAMA-13.3,41.27361,-74.15334,Ramapo River,0.2 mi south of Arden bridge; end of Water St.,A(T),1501-0036,157.2926178
